QS1,QS2,MS1,MS2,MS3,SS1,SS2,BASE_LINE,IS1,IS2
-1,241.2,156.85,235.94,381.82,-1,-1,731.5,126.66,659.91
-2,479.94,586.72,741.87,1155.3,-2,-1,430.15,172.2,1099.84
-1,594.34,801.3,1006.14,1185.31,-1,-1,520.0,295.97,1557.62
-1,641.01,977.56,1247.94,1490.8,-1,-1,613.2,370.85,1949.32
-1,854.64,1129.86,1498.27,2012.65,-1,-1,642.34,480.68,2319.49
