QS1,QS2,MS1,MS2,MS3,SS1,SS2,BASE_LINE,IS1,IS2
-1,237.4,157.0,236.13,383.34,-1,-1,745.99,-1,0.0
-2,239.41,448.93,508.8,623.52,-2,-2,285.12,-2,-1
-2,2358.17,598.2,762.05,1498.16,-2,-2,325.84,-2,-2
-2,362.27,704.53,985.57,1559.57,-2,-2,375.97,-2,-2
-2,443.36,887.93,1199.86,1915.21,-2,-2,429.0,-2,-2
